,SEDOL,ticker,name,ESG
104,4076836,ISP,Intesa Sanpaolo SPA (Registered),Y
105,BX865C7,SHOP,Shopify Inc.,Y
106,6591014,8411,Mizuho Financial Group Inc.,Y
107,6429104,6501,Hitachi Ltd.,N
108,7145056,ENI,Eni SPA,N
109,6483809,4452,Kao Corp.,Y
110,B59L4L7,GAZP,Gazprom PJSC,N
111,6205122,INFY,Infosys Ltd.,Y
112,4682329,RI,Pernod Ricard SA,N
113,2171573,CNQ,Canadian Natural Resources Ltd.,N
114,6250724,6367,Daikin Industries Ltd.,N
115,B59SNS8,LKOH,LUKOIL PJSC,N
116,5501906,BBVA,Banco Bilbao Vizcaya Argentaria SA,Y
117,BP9DL90,ITX,Industria de Diseno Textil SA,Y
118,4617859,DPW,Deutsche Post AG,Y
119,B037HR3,ITUB4,Itau Unibanco Holding SA Preference Shares,Y
120,2170525,CM,Canadian Imperial Bank of Commerce,Y
121,6513126,8766,Tokio Marine Holdings Inc.,Y
122,6183552,9022,Central Japan Railway Co.,Y
123,6438564,2317,Hon Hai Precision Industry Co. Ltd.,Y
124,B1XZS82,AAL,Anglo American plc,N
125,6356934,6954,FANUC Corp.,Y
126,6441506,7741,Hoya Corp.,Y
127,6610403,6981,Murata Manufacturing Co. Ltd.,Y
128,B0FXT17,BIDU,Baidu Inc.,Y
129,2793115,CP,Canadian Pacific Railway Ltd.,Y
130,5497168,VOW3,Volkswagen AG Preference Shares,N
131,6175203,D05,DBS Group Holdings Ltd.,Y
132,B00FM53,BBDC4,Banco Bradesco SA Preference Shares,Y
133,B4T3BW6,GLEN,Glencore plc,N
134,7171589,CSGN,Credit Suisse Group AG,Y
135,B3MSM28,AMS,Amadeus IT Group SA,Y
136,B58LLB7,AMADF,Amadeus IT Group SA,Y
137,6948836,WES,Wesfarmers Ltd.,N
138,B154564,3988,Bank of China Ltd.,Y
139,884709,TSCO,Tesco plc,Y
140,BYMXPS7,UCG,UniCredit SPA,Y
141,6596785,8058,Mitsubishi Corp.,N
142,6298542,9020,East Japan Railway Co.,Y
143,6895675,8035,Tokyo Electron Ltd.,Y
144,6773812,5935,Samsung Electronics Co. Ltd. Preference Shares,Y
145,6985383,4503,Astellas Pharma Inc.,Y
146,B0SWJX3,LSE,London Stock Exchange Group plc,Y
147,6129277,9437,NTT DOCOMO Inc.,Y
148,6981239,WOW,Woolworths Group Ltd.,N
149,6640682,6594,Nidec Corp.,Y
150,5732524,TEF,Telefonica SA,Y
151,6467803,8001,ITOCHU Corp.,N
152,B545MG5,SREN,Swiss Re AG,Y
153,2684532,PETR4,Petroleo Brasileiro SA Preference Shares,N
154,B19NLV4,EXPN,Experian plc,Y
155,BJDS7L3,PRX,Prosus NV,N
156,B28YTC2,MQG,Macquarie Group Ltd.,Y
157,6641373,9432,Nippon Telegraph & Telephone Corp.,Y
158,6332439,9983,Fast Retailing Co. Ltd.,Y
159,6597302,8031,Mitsui & Co. Ltd.,N
160,BBJPFY1,VNA,Vonovia SE,Y
161,5980613,GIVN,Givaudan SA,Y
162,7021963,DB1,Deutsche Boerse AG,Y
163,6200882,TCL,Transurban Group,Y
164,B0FS5D6,3382,Seven & i Holdings Co. Ltd.,Y
165,5889505,IFX,Infineon Technologies AG,Y
166,BMM27D9,JD,JD.com Inc.,Y
167,5176177,ORA,Orange SA,Y
